,Class,H00:00,H00:15,H00:30,H00:45,H01:00,H01:15,H01:30,H01:45,H02:00,H02:15,H02:30,H02:45,H03:00,H03:15,H03:30,H03:45,H04:00,H04:15,H04:30,H04:45,H05:00,H05:15,H05:30,H05:45,H06:00,H06:15,H06:30,H06:45,H07:00,H07:15,H07:30,H07:45,H08:00,H08:15,H08:30,H08:45,H09:00,H09:15,H09:30,H09:45,H10:00,H10:15,H10:30,H10:45,H11:00,H11:15,H11:30,H11:45,H12:00,H12:15,H12:30,H12:45,H13:00,H13:15,H13:30,H13:45,H14:00,H14:15,H14:30,H14:45,H15:00,H15:15,H15:30,H15:45,H16:00,H16:15,H16:30,H16:45,H17:00,H17:15,H17:30,H17:45,H18:00,H18:15,H18:30,H18:45,H19:00,H19:15,H19:30,H19:45,H20:00,H20:15,H20:30,H20:45,H21:00,H21:15,H21:30,H21:45,H22:00,H22:15,H22:30,H22:45,H23:00,H23:15,H23:30,H23:45
10,0,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.0021382,1.7313,5.5858,0.20313,0.22594,1.1839,7.5017,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846,-0.1846
11,0,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,-0.19136,0.096002,5.2275,1.5123,0.15758,0.13705,2.3949,7.5059,-0.19136,-0.19136,-0.19136,-0.19136
12,0,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477,0.031497,3.0963,4.1248,0.15491,0.17548,1.9239,7.8273,-0.19477,-0.19477,-0.19477,-0.19477,-0.19477
13,0,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.12961,0.16806,6.0818,0.18791,0.18791,0.16806,7.3916,0.84278,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693,-0.1693
14,0,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.19025,-0.13177,0.12162,6.7293,0.14111,0.14111,0.10213,4.7996,4.8386,-0.19025,-0.19025,-0.19025,-0.19025
15,0,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.097422,0.13958,6.247,0.15781,0.15781,0.13958,7.2315,1.0147,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035,-0.17035
16,0,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,0.17352,6.5988,0.6062,0.19516,0.17352,5.7983,3.7431,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425,-0.19425
17,0,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.15023,0.15191,6.6379,0.15191,0.17205,0.11162,5.4293,4.261,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052,-0.19052
18,0,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,-0.1866,0.16851,6.8564,0.14878,0.16851,0.14878,5.8305,3.2856,-0.1866,-0.1866,-0.1866,-0.1866
19,0,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,-0.20972,0.12424,5.7061,1.9849,0.21966,0.1958,5.062,5.3721,-0.20972,-0.20972,-0.20972,-0.20972
20,0,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568,0.050701,3.1446,3.1257,0.16389,0.14503,0.50347,8.5024,-0.17568,-0.17568,-0.17568,-0.17568,-0.17568
21,0,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923,0.043151,3.1721,4.2738,0.19739,0.19739,2.2246,7.6231,-0.19923,-0.19923,-0.19923,-0.19923,-0.19923
